,Usecase,Parameter,Parameter Value,Obj Value,Runtime
48,Small,NetworkCuts,-1,545.3111591697021,0.04499983787536621
49,Small,NetworkCuts,0,545.3111591697021,0.05500006675720215
50,Small,NetworkCuts,1,545.3111591697021,0.05500006675720215
51,Small,NetworkCuts,2,545.3111591697021,0.06299996376037598
52,Small,ProjImpliedCuts,-1,545.3111591697021,0.05500006675720215
53,Small,ProjImpliedCuts,0,545.3111591697021,0.053999900817871094
54,Small,ProjImpliedCuts,1,545.3111591697021,0.04700016975402832
55,Small,ProjImpliedCuts,2,545.3111591697021,0.056999921798706055
56,Small,PSDCuts,-1,545.3111591697021,0.05800008773803711
57,Small,PSDCuts,0,545.3111591697021,0.05299997329711914
58,Small,PSDCuts,1,545.3111591697021,0.051000118255615234
59,Small,PSDCuts,2,545.3111591697021,0.054000139236450195
60,Small,RelaxLiftCuts,-1,545.3111591697021,0.06100010871887207
61,Small,RelaxLiftCuts,0,545.3111591697021,0.03900003433227539
62,Small,RelaxLiftCuts,1,545.3111591697021,0.057000160217285156
63,Small,RelaxLiftCuts,2,545.3111591697021,0.04900002479553223
64,Small,RLTCuts,-1,545.3111591697021,0.0559999942779541
65,Small,RLTCuts,0,545.3111591697021,0.0559999942779541
66,Small,RLTCuts,1,545.3111591697021,0.054000139236450195
67,Small,RLTCuts,2,545.3111591697021,0.05799984931945801
68,Small,StrongCGCuts,-1,545.3111591697021,0.06200003623962402
69,Small,StrongCGCuts,0,545.3111591697021,0.05800008773803711
70,Small,StrongCGCuts,1,545.3111591697021,0.05900001525878906
71,Small,StrongCGCuts,2,545.3111591697021,0.05900001525878906
72,Small,SubMIPCuts,-1,545.3111591697021,0.05900001525878906
73,Small,SubMIPCuts,0,545.3111591697021,0.06300020217895508
74,Small,SubMIPCuts,1,545.3111591697021,0.06699991226196289
75,Small,SubMIPCuts,2,545.3111591697021,0.053999900817871094
76,Small,ZeroHalfCuts,-1,545.3111591697021,0.07700014114379883
77,Small,ZeroHalfCuts,0,545.3111591697021,0.06599998474121094
78,Small,ZeroHalfCuts,1,545.3111591697021,0.09100008010864258
79,Small,ZeroHalfCuts,2,545.3111591697021,0.09599995613098145
80,Medium,BQPCuts,-1,599.776664964801,0.14599990844726562
81,Medium,BQPCuts,0,599.776664964801,0.10599994659423828
82,Medium,BQPCuts,1,599.776664964801,0.08299994468688965
83,Medium,BQPCuts,2,599.776664964801,0.0839998722076416
84,Medium,CliqueCuts,-1,599.776664964801,0.0820000171661377
85,Medium,CliqueCuts,0,599.776664964801,0.09600019454956055
