,Usecase,Parameter,Parameter Value,Obj Value,Runtime
237,Small,GomoryPasses,37,545.3111591697021,0.05500006675720215
238,Small,GomoryPasses,38,545.3111591697021,0.054000139236450195
239,Small,GomoryPasses,39,545.3111591697021,0.06599998474121094
240,Small,GomoryPasses,40,545.3111591697021,0.05200004577636719
241,Small,GomoryPasses,41,545.3111591697021,0.05900001525878906
242,Small,GomoryPasses,42,545.3111591697021,0.07700014114379883
243,Small,GomoryPasses,43,545.3111591697021,0.08699989318847656
244,Small,GomoryPasses,44,545.3111591697021,0.07599997520446777
245,Small,GomoryPasses,45,545.3111591697021,0.042999982833862305
246,Small,GomoryPasses,46,545.3111591697021,0.07500004768371582
247,Small,GomoryPasses,47,545.3111591697021,0.056999921798706055
248,Small,GomoryPasses,48,545.3111591697021,0.04999995231628418
249,Small,GomoryPasses,49,545.3111591697021,0.06000018119812012
250,Small,GomoryPasses,50,545.3111591697021,0.042999982833862305
251,Small,GomoryPasses,51,545.3111591697021,0.04999995231628418
252,Small,GomoryPasses,52,545.3111591697021,0.04900002479553223
253,Small,GomoryPasses,53,545.3111591697021,0.0559999942779541
254,Small,GomoryPasses,54,545.3111591697021,0.15599989891052246
255,Small,GomoryPasses,55,545.3111591697021,0.08299994468688965
256,Small,GomoryPasses,56,545.3111591697021,0.06100010871887207
257,Small,GomoryPasses,57,545.3111591697021,0.05800008773803711
258,Small,GomoryPasses,58,545.3111591697021,0.06200003623962402
259,Small,GomoryPasses,59,545.3111591697021,0.04799985885620117
260,Small,GomoryPasses,60,545.3111591697021,0.11099982261657715
261,Small,GomoryPasses,61,545.3111591697021,0.04799985885620117
262,Small,GomoryPasses,62,545.3111591697021,0.11500000953674316
263,Small,GomoryPasses,63,545.3111591697021,0.06200003623962402
264,Small,GomoryPasses,64,545.3111591697021,0.059999942779541016
265,Small,GomoryPasses,65,545.3111591697021,0.039999961853027344
266,Small,GomoryPasses,66,545.3111591697021,0.04799985885620117
267,Small,GomoryPasses,67,545.3111591697021,0.04900002479553223
268,Small,GomoryPasses,68,545.3111591697021,0.07299995422363281
269,Small,GomoryPasses,69,545.3111591697021,0.05099987983703613
270,Small,GomoryPasses,70,545.3111591697021,0.05900001525878906
271,Small,GomoryPasses,71,545.3111591697021,0.1400001049041748
272,Small,GomoryPasses,72,545.3111591697021,0.0969998836517334
273,Small,GomoryPasses,73,545.3111591697021,0.09200000762939453
274,Small,GomoryPasses,74,545.3111591697021,0.05099987983703613
275,Small,GomoryPasses,75,545.3111591697021,0.06099987030029297
276,Small,GomoryPasses,76,545.3111591697021,0.04800009727478027
277,Small,GomoryPasses,77,545.3111591697021,0.08599996566772461
278,Small,GomoryPasses,78,545.3111591697021,0.05799984931945801
279,Small,GomoryPasses,79,545.3111591697021,0.06299996376037598
280,Small,GomoryPasses,80,545.3111591697021,0.0559999942779541
281,Small,GomoryPasses,81,545.3111591697021,0.04800009727478027
282,Small,GomoryPasses,82,545.3111591697021,0.05000019073486328
283,Small,GomoryPasses,83,545.3111591697021,0.053999900817871094
284,Small,GomoryPasses,84,545.3111591697021,0.0690000057220459
285,Small,GomoryPasses,85,545.3111591697021,0.051000118255615234
286,Small,GomoryPasses,86,545.3111591697021,0.06500005722045898
287,Small,GomoryPasses,87,545.3111591697021,0.04999995231628418
288,Small,GomoryPasses,88,545.3111591697021,0.06200003623962402
289,Small,GomoryPasses,89,545.3111591697021,0.04900002479553223
290,Small,GomoryPasses,90,545.3111591697021,0.06299996376037598
291,Small,GomoryPasses,91,545.3111591697021,0.056999921798706055
292,Small,GomoryPasses,92,545.3111591697021,0.09599995613098145
293,Small,GomoryPasses,93,545.3111591697021,0.05099987983703613
294,Small,GomoryPasses,94,545.3111591697021,0.05299997329711914
295,Small,GomoryPasses,95,545.3111591697021,0.051000118255615234
296,Small,GomoryPasses,96,545.3111591697021,0.04400014877319336
297,Small,GomoryPasses,97,545.3111591697021,0.04200005531311035
298,Small,GomoryPasses,98,545.3111591697021,0.10500001907348633
299,Small,GomoryPasses,99,545.3111591697021,0.06200003623962402
300,Medium,CutPasses,0,599.776664964801,0.0820000171661377
301,Medium,CutPasses,1,599.776664964801,0.0969998836517334
302,Medium,CutPasses,2,599.776664964801,0.08300018310546875
303,Medium,CutPasses,3,599.776664964801,0.07699990272521973
304,Medium,CutPasses,4,599.776664964801,0.0970001220703125
305,Medium,CutPasses,5,599.776664964801,0.18199992179870605
306,Medium,CutPasses,6,599.776664964801,0.07700014114379883
307,Medium,CutPasses,7,599.776664964801,0.07200002670288086
308,Medium,CutPasses,8,599.776664964801,0.07799983024597168
309,Medium,CutPasses,9,599.776664964801,0.0969998836517334
310,Medium,CutPasses,10,599.776664964801,0.09599995613098145
311,Medium,CutPasses,11,599.776664964801,0.0969998836517334
312,Medium,CutPasses,12,599.776664964801,0.1530001163482666
313,Medium,CutPasses,13,599.776664964801,0.07800006866455078
314,Medium,CutPasses,14,599.776664964801,0.12100005149841309
315,Medium,CutPasses,15,599.776664964801,0.09500002861022949
316,Medium,CutPasses,16,599.776664964801,0.08700013160705566
317,Medium,CutPasses,17,599.776664964801,0.13199996948242188
318,Medium,CutPasses,18,599.776664964801,0.07500004768371582
319,Medium,CutPasses,19,599.776664964801,0.0690000057220459
320,Medium,CutPasses,20,599.776664964801,0.10699987411499023
321,Medium,CutPasses,21,599.776664964801,0.08999991416931152
322,Medium,CutPasses,22,599.776664964801,0.07700014114379883
323,Medium,CutPasses,23,599.776664964801,0.08599996566772461
324,Medium,CutPasses,24,599.776664964801,0.10500001907348633
325,Medium,CutPasses,25,599.776664964801,0.10500001907348633
326,Medium,CutPasses,26,599.776664964801,0.08099985122680664
327,Medium,CutPasses,27,599.776664964801,0.08599996566772461
328,Medium,CutPasses,28,599.776664964801,0.07699990272521973
329,Medium,CutPasses,29,599.776664964801,0.08599996566772461
330,Medium,CutPasses,30,599.776664964801,0.07300019264221191
331,Medium,CutPasses,31,599.776664964801,0.08599996566772461
332,Medium,CutPasses,32,599.776664964801,0.08500003814697266
333,Medium,CutPasses,33,599.776664964801,0.06599998474121094
334,Medium,CutPasses,34,599.776664964801,0.07699990272521973
335,Medium,CutPasses,35,599.776664964801,0.07499980926513672
336,Medium,CutPasses,36,599.776664964801,0.10100007057189941
337,Medium,CutPasses,37,599.776664964801,0.06599998474121094
338,Medium,CutPasses,38,599.776664964801,0.08100008964538574
339,Medium,CutPasses,39,599.776664964801,0.11699986457824707
340,Medium,CutPasses,40,599.776664964801,0.07899999618530273
341,Medium,CutPasses,41,599.776664964801,0.07200002670288086
342,Medium,CutPasses,42,599.776664964801,0.1400001049041748
343,Medium,CutPasses,43,599.776664964801,0.14499998092651367
344,Medium,CutPasses,44,599.776664964801,0.10599994659423828
345,Medium,CutPasses,45,599.776664964801,0.07500004768371582
346,Medium,CutPasses,46,599.776664964801,0.07799983024597168
347,Medium,CutPasses,47,599.776664964801,0.06999993324279785
348,Medium,CutPasses,48,599.776664964801,0.07699990272521973
349,Medium,CutPasses,49,599.776664964801,0.07500004768371582
350,Medium,CutPasses,50,599.776664964801,0.08500003814697266
351,Medium,CutPasses,51,599.776664964801,0.0820000171661377
352,Medium,CutPasses,52,599.776664964801,0.07799983024597168
353,Medium,CutPasses,53,599.776664964801,0.07200002670288086
354,Medium,CutPasses,54,599.776664964801,0.0839998722076416
355,Medium,CutPasses,55,599.776664964801,0.13899993896484375
356,Medium,CutPasses,56,599.776664964801,0.09399986267089844
357,Medium,CutPasses,57,599.776664964801,0.06300020217895508
358,Medium,CutPasses,58,599.776664964801,0.0819997787475586
359,Medium,CutPasses,59,599.776664964801,0.08500003814697266
360,Medium,CutPasses,60,599.776664964801,0.07700014114379883
361,Medium,CutPasses,61,599.776664964801,0.0709998607635498
362,Medium,CutPasses,62,599.776664964801,0.07299995422363281
363,Medium,CutPasses,63,599.776664964801,0.08699989318847656
364,Medium,CutPasses,64,599.776664964801,0.09299993515014648
365,Medium,CutPasses,65,599.776664964801,0.07899999618530273
366,Medium,CutPasses,66,599.776664964801,0.07700014114379883
367,Medium,CutPasses,67,599.776664964801,0.09800004959106445
368,Medium,CutPasses,68,599.776664964801,0.08999991416931152
369,Medium,CutPasses,69,599.776664964801,0.07899999618530273
370,Medium,CutPasses,70,599.776664964801,0.1269998550415039
371,Medium,CutPasses,71,599.776664964801,0.07999992370605469
372,Medium,CutPasses,72,599.776664964801,0.07999992370605469
373,Medium,CutPasses,73,599.776664964801,0.07799983024597168
374,Medium,CutPasses,74,599.776664964801,0.08499979972839355
