,Usecase,Parameter,Parameter Value,Obj Value,Runtime
43,Small,MIRCuts,2,545.3111591697021,0.0505218505859375
44,Small,ModKCuts,-1,545.3111591697021,0.05988502502441406
45,Small,ModKCuts,0,545.3111591697021,0.051998138427734375
46,Small,ModKCuts,1,545.3111591697021,0.060016632080078125
47,Small,ModKCuts,2,545.3111591697021,0.13636207580566406
48,Small,NetworkCuts,-1,545.3111591697021,0.0478973388671875
49,Small,NetworkCuts,0,545.3111591697021,0.054019927978515625
50,Small,NetworkCuts,1,545.3111591697021,0.06256103515625
51,Small,NetworkCuts,2,545.3111591697021,0.06251144409179688
52,Small,ProjImpliedCuts,-1,545.3111591697021,0.046886444091796875
53,Small,ProjImpliedCuts,0,545.3111591697021,0.05256462097167969
54,Small,ProjImpliedCuts,1,545.3111591697021,0.04077339172363281
55,Small,ProjImpliedCuts,2,545.3111591697021,0.040760040283203125
56,Small,PSDCuts,-1,545.3111591697021,0.08902549743652344
57,Small,PSDCuts,0,545.3111591697021,0.05790519714355469
58,Small,PSDCuts,1,545.3111591697021,0.040790557861328125
59,Small,PSDCuts,2,545.3111591697021,0.1259613037109375
60,Small,RelaxLiftCuts,-1,545.3111591697021,0.06293296813964844
61,Small,RelaxLiftCuts,0,545.3111591697021,0.03166961669921875
62,Small,RelaxLiftCuts,1,545.3111591697021,0.06249809265136719
63,Small,RelaxLiftCuts,2,545.3111591697021,0.0471954345703125
64,Small,RLTCuts,-1,545.3111591697021,0.03125572204589844
65,Small,RLTCuts,0,545.3111591697021,0.043590545654296875
66,Small,RLTCuts,1,545.3111591697021,0.041553497314453125
67,Small,RLTCuts,2,545.3111591697021,0.10451889038085938
68,Small,StrongCGCuts,-1,545.3111591697021,0.045520782470703125
69,Small,StrongCGCuts,0,545.3111591697021,0.056011199951171875
70,Small,StrongCGCuts,1,545.3111591697021,0.0449981689453125
71,Small,StrongCGCuts,2,545.3111591697021,0.040004730224609375
72,Small,SubMIPCuts,-1,545.3111591697021,0.04204750061035156
73,Small,SubMIPCuts,0,545.3111591697021,0.04400634765625
74,Small,SubMIPCuts,1,545.3111591697021,0.04300117492675781
75,Small,SubMIPCuts,2,545.3111591697021,0.04399871826171875
76,Small,ZeroHalfCuts,-1,545.3111591697021,0.07353591918945312
77,Small,ZeroHalfCuts,0,545.3111591697021,0.04251289367675781
78,Small,ZeroHalfCuts,1,545.3111591697021,0.04634857177734375
79,Small,ZeroHalfCuts,2,545.3111591697021,0.04683494567871094
80,Small,CutPasses,0,545.3111591697021,0.039852142333984375
81,Small,CutPasses,1,545.3111591697021,0.04534339904785156
82,Small,CutPasses,2,545.3111591697021,0.04090690612792969
83,Small,CutPasses,3,545.3111591697021,0.07484817504882812
84,Small,CutPasses,4,545.3111591697021,0.04030609130859375
85,Small,CutPasses,5,545.3111591697021,0.057010650634765625
86,Small,CutPasses,6,545.3111591697021,0.05135917663574219
87,Small,CutPasses,7,545.3111591697021,0.055271148681640625
88,Small,CutPasses,8,545.3111591697021,0.0532073974609375
89,Small,CutPasses,9,545.3111591697021,0.04619598388671875
90,Small,CutPasses,10,545.3111591697021,0.05210685729980469
91,Small,CutPasses,11,545.3111591697021,0.08002471923828125
92,Small,CutPasses,12,545.3111591697021,0.04218292236328125
93,Small,CutPasses,13,545.3111591697021,0.04500389099121094
94,Small,CutPasses,14,545.3111591697021,0.050975799560546875
95,Small,CutPasses,15,545.3111591697021,0.042789459228515625
96,Small,CutPasses,16,545.3111591697021,0.04269599914550781
97,Small,CutPasses,17,545.3111591697021,0.04594993591308594
98,Small,CutPasses,18,545.3111591697021,0.08132743835449219
